set	id	turn1	turn2	turn3	turn4	turn5	turn6
train	chain2_1815_352_115_779_503_184	Would you like to sit down?	No, I'm fine standing up	Are you sure you don't want to sit down?	Been sitting all day. Work was just one meeting after another.	Oh, I'm sorry. I don't enjoy work days like that.	It feels good to stretch my legs a bit.
train	chain2_1955_1244_691_524_476_462	Would you like to go to the mall?	SURE I'D LOVE TO.	What time do you want to leave?	How about after my shower?	How long will that take?	Around 15 minutes max.
train	chain2_1374_679_91_517_642_430	Do you want to get McDonalds?	No that food is too fatty.	They have salads and stuff, too.	I know but everything there just kind of tastes like McDonald's, you know?	I do know. I think that's kind of the point. We can go somewhere else, though.	I'm sorry, it's just that I have been having issues with smells recently and the whole place smells like grease. Why don't we go to Subway?
train	chain2_1615_1171_69_393_762_735	What do you think of the service here?	THE SERVICE HERE IS REALLY GOOD.	I know!  We must come back soon!	It's like the waitress could read my mind.	Yes, she did a great job!	We will have to leave her a 20% tip.
train	chain2_1286_1453_256_253_35_478	Can you tell me where the restroom is?	It is around the corner next door left.	Thanks, I've been looking everywhere.	No problem! It's in a confusing spot.	That's for sure. Thank you again.	Sure, not a problem.
train	chain2_2128_960_518_1237_595_741	Did the plumber check the drain?	YES, HE DID. IT WAS CLOGGED.	Did he try to snake it to clear the blockage?	He did, but there was too much stuff to get out with that method.	So what did he have to do?	He's coming back to suction it in an hour. If that doesn't work then he'll have to open up the pipes.
train	chain2_1102_1333_284_376_328_1082	What do you do at home?	I WORK ON THE COMPUTER.	Do you play games on the computer?	Of course I do.	What type of games do you play?	Card games mostly, but also hidden object games.
train	chain3_59_173_349_275_120_205	I FEEL TERRIBLE , WOULD YOU CALL MY DR. FOR AN APPOINTMENT ?	Yes, I'll see if he can get you in right away.	I'd appreciate it if you could. I don't think I can do it on my own.	To be honest, I don't really understand how you are able to call me but not your doctor.	You never put me on hold, that's why!	Ah, I see your point.
train	chain2_246_1438_105_613_684_561	Can you get me something to eat?	Yes what do you fancy?	I fancy a giant bacon cheeseburger!	That sounds delicious.  I should order one for me, too!	I want a double bacon cheeseburger please.	Ohh, don't forget the fries, onion rings, soda and pie for dessert, I'm famished.
train	chain2_216_460_507_1226_424_274	Is there anything for me in the mail?	There are 2 letters for you.	Did you open them?	No. They look like bills, though.	Open them and let me know for sure.	I am not opening your mail, I will put it right here and you can open it when your ready.
train	chain2_736_488_387_896_931_226	What time is the movie?	I don't know, can you check?	Yeah, let me go online first.	Thanks! I have to finish up this project.	There a showing at 9p.m. Can we make it?	We should be able to make it in time, so long as there aren't any cops out looking to write speeding tickets.
train	chain2_620_1417_12_61_937_834	How much will that be?	It'll be $4.50	4.50?!? For a coffee? that is crazy!	Are you still interested in purchasing the coffee?	No way. I'll take a tap water with no ice.	You don't have to pay for ice..
train	chain2_2079_953_170_1041_178_584	Can you open the window?	Yes, of course.  It is starting to get a bit warm now.	Yes, it is. We should probably consider getting air conditioning.	Air conditioning is too expensive.	At least we can get a stand fan.	How about we look for a good used one? I know a few people who just had central air conditioning installed or who just moved to a house with central air and no longer have a need for their window a/c's. Let me give them a call and see what their asking cost is. Then when we do get an a/c we'll just use it only on the real hot days so we don't spend too much on our electric bill.
train	chain2_1747_287_805_54_651_763	Want to pick me up?	Sure, what time?	Stop by the house around 8:00.	Sounds good.  I'll see you then!	Is anyone else going?	No, it's just you and me tonight.
train	chain2_91_1375_311_515_144_410	Did you call the theater?	So sorry, I forgot to call the theater.	You can just go online.	That's true, I'll do that now.	What movie is it that you want to see?	The lord of the rings.
train	chain3_291_209_17_43_86_155	What are you fixing for dinner tonight?	Chicken escalopes with salad.	That sounds good. I'm making fish and rice.	Ew, I hate fish.	That's Ok.  You weren't invited for dinner.	Ha ha, that was a good one!
train	chain2_1319_242_1075_488_1028_938	How old is she?	She is 21	When was her birthday?	It was February 17th, I believe.	Wow, time sure does fly. Is she studying something?	yes she is doing her graduation
train	chain3_231_72_144_281_132_223	When do you plan to start your new job?	At the start of the next quarter.	How exciting! What field are you going into?	My job is concerned mainly with computer networking.	Are you excited about the change?	Yes, but I'm worried my coworkers won't like me.
train	chain2_1788_66_250_218_535_976	Is that store near us?	The store is right around the corner.	Which way do I go?	You need to turn left and you'll see the blue sign for the store.	Do you want to come with me?	I don't feel like it, I am high as a kyte!
train	chain3_427_51_110_213_18_31	will you play?	Yes, sounds fun!	It is!  After we build the blanket fort we are going to have a pillow fight!	I will destroy you! I'm a pillow fighting champion!	We'll see about that!	Where will we set up the fort?
