dialogue_id	turn_id	utterance
0	a1	What do you think of the service here?
0	b1	The service here Is really good.
1	a2	I know! We must come back soon!
1	b2	It's like the waitress could read my mind.
2	a3	Yes, she did a great job!
2	b3	We will have to leave her a 20% tip.
3	a1	Can you tell me where the restroom is?
3	b1	It is around the corner next door left.
4	a2	Thanks, I've been looking everywhere.
4	b2	No problem! It's in a confusing spot.
5	a3	That's for sure. Thank you again.
5	b3	Sure, not a problem.
6	a1	Did the plumber check the drain?
6	b1	Yes, he did. It was clogged.
7	a2	Did he try to snake it to clear the blockage?
7	b2	He did, but there was too much stuff to get out with that method.
8	a3	So what did he have to do?
8	b3	He's coming back to suction it in an hour. If that doesn't work then he'll have to open up the pipes.
9	a1	What do you do at home?
9	b1	I work on the computer.
10	a2	Do you play games on the computer?
10	b2	Of course I do.
11	a3	What type of games do you play?
11	b3	Card games mostly, but also hidden object games.
12	a1	Is there anything for me in the mail?
12	b1	There are 2 letters for you.
13	a2	Did you open them?
13	b2	No. They look like bills, though.
14	a3	Open them and let me know for sure.
14	b3	I am not opening your mail, I will put it right here and you can open it when your ready.
15	a1	How much will that be?
15	b1	It'll be $4.50
16	a2	4.50? For a coffee? That is crazy!
16	b2	Are you still interested in purchasing the coffee?
17	a3	No way. I'll take a tap water with no ice.
17	b3	You don't have to pay for ice.
18	a1	Want to pick me up?
18	b1	Sure, what time?
19	a2	Stop by the house around 8:00.
19	b2	Sounds good. I'll see you then!
20	a3	Is anyone else going?
20	b3	No, it's just you and me tonight.
21	a1	Did you call the theater?
21	b1	So sorry, I forgot to call the theater.
22	a2	You can just go online.
22	b2	That's true, I'll do that now.
23	a3	What movie is it that you want to see?
23	b3	The lord of the rings.
24	a1	What are you fixing for dinner tonight?
24	b1	Chicken escalopes with salad.
25	a2	That sounds good. I'm making fish and rice.
25	b2	Ew, I hate fish.
26	a3	That's Ok. You weren't invited for dinner.
26	b3	Ha ha, that was a good one!
27	a1	When do you plan to start your new job?
27	b1	At the start of the next quarter.
28	a2	How exciting! What field are you going into?
28	b2	My job is concerned mainly with computer networking.
29	a3	Are you excited about the change?
29	b3	Yes, but I'm worried my coworkers won't like me.
30	a1	will you play?
30	b1	Yes, sounds fun!
31	a2	It is! After we build the blanket fort we are going to have a pillow fight!
31	b2	I will destroy you! I'm a pillow fighting champion!
32	a3	We'll see about that!
32	b3	Where will we set up the fort?
33	a1	Do you want to walk around the park?
33	b1	No, the weather is too gloomy.
34	a2	It's not that bad outside!
34	b2	Well there's a lot of rain and the thunder and lightning seem pretty close. You really still want to go out to the park?
35	a3	Sure! Let me just grab my kite and my umbrella.
35	b3	A kite? Seriously?
